id,Description,Category
1,RupayPOS:CROCS PUNE ,Shopping
2,RupayPOS:inditex trent retail i pune ,Shopping
3,RupayPOS:ADITYA BIRLA FASHION A PUNE ,Shopping
4,RupayECom:PayUwwwjustridein Mumbai ,Travel
5,RupayPOS:HOTEL VAISHALI PUNE ,Food
6,:NFS:CW:SINGHAD INST OF TECHNO PUNE ,Cash Withdrawal
7,RupayPOS:SWIG PUNE ,Food
8,RupayECom:AMAZON Mumbai ,Shopping
9,RupayPOS:MSWPUNE TRAFFIC POLIC Pune ,Fine
10,RupayPOS:MITALI SERVICE PUNE ,Travel
11,RupayPOS:WESTSIDEA UNIT OF TRE PUNE ,Shopping
12,RupayPOS:VASTE AND SONS MUMBAI ,Shopping
13,RupayPOS:BHARAT PETROL DEPOT PUNE ,Travel
14,:NFS:CW:PUNE BRANCH PUNE ,Cash Withdrawal
15,RupayECom:PAYTM ,Paytm
16,RupayECom:ONE97 COMMUNICATIONS LINOIDA ,Paytm
17,RupayPOS:MC DONALDS PUNE ,Food
18,RupayPOS:BARBEQUE NATIONS HOSPI PUNE ,Food
19,RupayPOS:RELAX RESTAURANT PUNE ,Food
20,RupayECom:PAYTM NOIDA ,Paytm
21,RupayPOS:SHAHID LT COL PUNE ,Travel
22,:NFS:CW:DAMODARVILLAHINGNEKHURDSINHGADRDPUNE,Cash Withdrawal
23,:NFS:CW:DECCANGYM PUNE ,Cash Withdrawal
24,:NFS:CW:WADGAON BK BUS STOP I PUNE ,Cash Withdrawal
25,:NFS:CW:NEAR SINHGAD INSTITUTE PUNE ,Cash Withdrawal
26,RupayECom:RELIANCEJIO Mumbai ,Recharge
27,RupayECom:PayUwwwzoomcarcom Bangalore ,Travel
28,RupayPOS:JYOTI PETROLEUM PUNE ,Travel
29,P2A-812611001984--CIUB0000441-,Bank Transfer
30,:NFS:CW:SHANKAR PARVATI COMPLEXPUN ,Cash Withdrawal
31,RupayPOS:PVR LIMITED PUNE ,Entertainment
32,RupayPOS:CENTRAL PUNE ,Shopping
33,RupayPOS:CENTRAL PUNE ,Shopping
34,P2A-812823012935--UTIB0000651-,Bank Transfer
35,RupayPOS:DREAM SPORTS FIELDS PV PUNE ,Shopping
36,SB003602:CW:840:375-SBPUB-14913:,Cash Withdrawal
37,:NFS:CW:UBI SINHGAD COLLEGE PUNE ,Cash Withdrawal
38,RupayECom:PayUwwwzoomcarcom Bangalore ,Travel
39,RupayPOS:3S SERVICE STATION PUNE ,Travel
40,RupayPOS:3S SERVICE STATION PUNE ,Travel
41,:NFS:CW:VAIBHAV MEDICALS PUNE ,Cash Withdrawal
42,RupayPOS:BHARAT PETROLEUM PUNE ,Travel
43,:NFS:CW:OpDecanHondaDhankawadiPUNE ,Cash Withdrawal
44,P2A-814209000842--PYTM0123456-,Bank Transfer
45,:NFS:CW:SHOPNO 5TO10 GANGABHAGYPUNE ,Cash Withdrawal
46,RupayECom:wwwswiggycom GURGAON HRIN:,Food
47,23-05-2018 : CHG : Oth Bk ATM Chg: 814306005798 Other,Ignore
48,RupayPOS:BHAVANI MEDICAL PUNE ,Health Care
49,RupayPOS:3S SERVICE STATION PUNE ,Travel
50,RupayPOS:BABJI PETROLEUM PUNE ,Travel
51,RupayPOS:BABJI PETROLEUM PUNE ,Travel
52,RupayPOS:IDLI AND DOSAS PUNE ,Food
53,RupayPOS:SHRI SADGURU PUNE ,Food
54,RupayPOS:THE BELGIAN WAFFLE CO PUNE ,Food
55,UPI-MANDAL ANURAG--Petrol,Travel
56,RupayPOS:FULPARI SWEET MALL PUNE ,Food
57,RupayECom:RAZORPAY SOFTWARE PVT L KAIN:,Shopping
58,RupayPOS:MSWPUNE TRAFFIC POLIC Pune ,Fine
59,RupayPOS:B U BHANDARI SERVICE S PUNE ,Travel
60,:NFS:CW:BPCLOPP SHIVAJINAGAR R RATNAGIRI ,Cash Withdrawal
61,:NFS:CW:GURUDATTA APARTMENT DH PUNE CITY ,Cash Withdrawal
62,UPI-MAHAVIR RAJENDR-Atm medical,Health Care
63,RupayPOS:3S SERVICE STATION PUNE ,Travel
64,:NFS:CW:SBHNANDED CITY PUNE PUNE CITY ,Cash Withdrawal
65,RupayPOS:3S SERVICE STATION PUNE ,Travel
66,RupayPOS:SHAHID LT COL PRAKASH PUNE ,Travel
67,RupayPOS:BPCL MITALI SERVICE S PUNE ,Travel
68,RupayPOS:BPCL MITALI SERVICE S PUNE ,Travel
69,RupayPOS:CAFE GOODLUCK Pune ,Food
70,:NFS:CW:SBI VADGAON SHERI ONSI PUNE ,Cash Withdrawal
71,RupayECom:MAHARASHTRA STATE ROAD Mumbai ,Travel
72,RupayPOS:PINAK ENTERPRISES PUNE ,Shopping
73,:NFS:CW:KARVE NAGAR BR PUNE ,Cash Withdrawal
74,20-06-2018 : CHG : Oth Bk ATM Chg: 817110014444 Other,Ignore
75,RupayPOS:YENNA DOSA PUNE ,Food
76,RupayPOS:CENTURY AUTOMOBILES PUNE DEIN:,Automobile
77,RupayPOS:PAWAR SAYLI VIJAY PUNE ,Ignore
78,RupayPOS:BHARAT PETROL DEPOT PUNE ,Travel
79,RupayPOS:SUB WAY PUNE ,Food
80,RupayPOS:JYOTI PETROLEUM PUNE ,Travel
81,:NFS:CW:WSGSHIVAJI NAGARGAONTPUNE ,Cash Withdrawal
82,:NFS:CW:FOOD MALL MUM PUNE EXP PUN ,Cash Withdrawal
83,RupayPOS:MC DONALDS KHALAPUR ,Food
84,RupayPOS:EKVIRA PETROLEUM PUNE ,Travel
85,RupayPOS:EKVIRA PETROLEUM PUNE ,Travel
86,RupayPOS:KOTHRUD PETROL PUNE ,Travel
87,RupayPOS:SUKANTA THALI PUNE ,Food
88,RupayPOS:GREEN MART PUNE ,Shopping
89,RupayPOS:GREEN MART PUNE ,Shopping
90,RupayPOS:CARNIVAL CINEMAS GOLD PUNE ,Entertainment
91,RupayPOS:WADESHWAR BHUVAN PUNE ,Food
92,RupayPOS:LIFE STYLE PUNE ,Shopping
93,RupayPOS:MSWSAGAR YASHWANT PAW Pune ,Food
94,RupayPOS:GREEN MART PUNE ,Shopping
95,RupayPOS:MITALI SERVICE PUNE ,Travel
96,RupayPOS:BIG BAZAAR PUNE ,Shopping
97,RupayPOS:SUBWAY PUNE ,Food
98,RupayPOS:DOMINOS PIZZA NAVI MUMBAI ,Food
99,RupayPOS:MS MEP RGSL TOLL BRID MUMBAI ,Travel
100,:NFS:CW:ATM CASHFAMOUS LINE MUMBAI ,Cash Withdrawal
101,RupayPOS:BIG BAZAAR PUNE ,Shopping
102,RupayPOS:VENUS TRADERS PUNE ,Shopping
103,RupayPOS:MY WING HONDA PUNE ,Automobile
104,:NFS:CW:WAGHOLI BRANCH PUNE ,Cash Withdrawal
105,RupayPOS:YADAV PUNE ,Travel
106,RupayPOS:BPCL MITALI SERVICE S PUNE ,Travel
107,RupayPOS:VENUS TRADERS PUNE ,Shopping
108,RupayPOS:KUBERR FOODS PUNE ,Food
109,:NFS:CW:MUDHWA ROAD PUNE ,Cash Withdrawal
110,:NFS:CW:SINHAGAD PUNE ,Cash Withdrawal
111,UPI-paytm-ICIC0000555--Oid5708253452@Vodafo,Paytm
112,RupayPOS:MSWSURAKSHA SALES Pune ,Shopping
113,RupayPOS:MSWSURAKSHA SALES Pune ,Shopping
114,:NFS:CW:DECCAN GYMKHANA PUNE ,Cash Withdrawal
115,RupayPOS:Ruprajeshwar Traders PUNE ,Shopping
116,RupayPOS:HORIZON SERVICES Sh Pune ,Ignore
117,:NFS:CW:WAGHESHWAR DAIRY I PUNE ,Cash Withdrawal
118,RupayPOS:EXCEL SERVICE CENTRE PUNE ,Travel
119,RupayPOS:MSWYUMMY PARATHAS Pune ,Food
120,UPI-billdesktez-ICIC0000555-0103SL00IPAY-UPI,UPI
121,RupayPOS:CARNIVAL FLIMS PVT LTD PUNE ,Entertainment
122,RupayPOS:CARNIVAL FLIMS PVT LTD PUNE ,Entertainment
123,RupayPOS:CARNIVAL FLIMS PVT LTD PUNE ,Entertainment
124,P2A-826511002646--BARB0SINHGA-Dslr glass replace,Bank Transfer
125,RupayPOS:SAPNA THALI PUNE ,Food
126,RupayPOS:GAGAN AUTO LLP PUNE ,Automobile
127,UPI-Paytm-PYTM0123456--Oid6104715484@Paytm,Paytm
128,UPI-Paytm-PYTM0123456--Oid6105449306@Paytm,Paytm
129,:NFS:CW:RENUKA NAGARI WADGAON PUNE ,Cash Withdrawal
130,RupayPOS:BABJI PETROLEUM PUNE ,Travel
131,UPI-Paytm-PYTM0123456--Oid6132335238@Paytm,Paytm
132,RupayPOS:ATOCHIRAYU ENTERPRISESPUNE ,Shopping
133,UPI-Paytm-PYTM0123456--Oid6140435568@Paytm,Paytm
134,RupayPOS:HOTEL DURGA PUNE ,Food
135,UPI-Paytm-PYTM0123456--Oid6148455467@Paytm,Paytm
136,UPI-Paytm-PYTM0123456--Oid6148504751@Paytm,Paytm
137,RupayPOS:JEHANGIR HOSPITAL PUNE ,Health Care
138,RupayPOS:BHAVANI MEDICAL PUNE ,Health Care
139,RupayPOS:SHAHID LT COL PRAKASH PUNE ,Travel
